Node_ID,Pricing_Tier,Bandwidth,Availability
1,low,38,0.8032756446633973
2,high,48,0.6956455840346555
3,medium,34,0.6368321482264434
4,low,34,0.883114105589457
5,low,66,0.7033369675501421
6,medium,33,0.7937803397244255
7,medium,32,0.8220241061056306
8,high,66,0.8400551689956612
9,high,54,0.7756366399550441
10,high,99,0.5549469654592055
11,high,80,0.5742648573599585
12,low,30,0.5289581302207125
13,low,46,0.5627658483015838
14,medium,71,0.9319481909447098
15,high,49,0.7710109631840112
16,low,84,0.6692418143984789
17,low,33,0.7385672279875288
18,high,27,0.5875968764815294
19,low,26,0.5452897327680811
20,low,27,0.705537291792885
